order_id,user_id,order_date,status
ORD_10000,USR_1871,2024-02-01 00:00:00.000000,completed
ORD_10001,USR_1321,2024-02-01 04:13:29.441888,completed
ORD_10002,USR_1566,2024-02-01 08:26:58.883776,completed
ORD_10003,USR_1455,2024-02-01 12:40:28.325665,completed
ORD_10004,USR_1943,2024-02-01 16:53:57.767553,completed
ORD_10005,USR_1602,2024-02-01 21:07:27.209441,completed
ORD_10006,USR_1789,2024-02-02 01:20:56.651330,completed
ORD_10007,USR_1612,2024-02-02 05:34:26.093218,completed
ORD_10008,USR_1154,2024-02-02 09:47:55.535107,completed
ORD_10009,USR_1888,2024-02-02 14:01:24.976995,completed
ORD_10010,USR_1348,2024-02-02 18:14:54.418883,completed
ORD_10011,USR_1450,2024-02-02 22:28:23.860772,completed
ORD_10012,USR_1875,2024-02-03 02:41:53.302660,returned
ORD_10013,USR_1652,2024-02-03 06:55:22.744548,completed
ORD_10014,USR_1172,2024-02-03 11:08:52.186437,completed
ORD_10015,USR_1009,2024-02-03 15:22:21.628325,completed
ORD_10016,USR_1739,2024-02-03 19:35:51.070214,returned
ORD_10017,USR_1264,2024-02-03 23:49:20.512102,completed
ORD_10018,USR_1437,2024-02-04 04:02:49.953990,completed
ORD_10019,USR_1759,2024-02-04 08:16:19.395879,returned
ORD_10020,USR_1246,2024-02-04 12:29:48.837767,completed
ORD_10021,USR_1666,2024-02-04 16:43:18.279655,completed
ORD_10022,USR_1545,2024-02-04 20:56:47.721544,completed
ORD_10023,USR_1498,2024-02-05 01:10:17.163432,completed
ORD_10024,USR_1128,2024-02-05 05:23:46.605321,completed
ORD_10025,USR_1671,2024-02-05 09:37:16.047209,completed
ORD_10026,USR_1600,2024-02-05 13:50:45.489097,completed
ORD_10027,USR_1604,2024-02-05 18:04:14.930986,completed
ORD_10028,USR_1326,2024-02-05 22:17:44.372874,completed
ORD_10029,USR_1752,2024-02-06 02:31:13.814762,completed
ORD_10030,USR_1834,2024-02-06 06:44:43.256651,completed
ORD_10031,USR_1979,2024-02-06 10:58:12.698539,returned
ORD_10032,USR_1403,2024-02-06 15:11:42.140428,completed
ORD_10033,USR_1628,2024-02-06 19:25:11.582316,returned
ORD_10034,USR_1605,2024-02-06 23:38:41.024204,completed
ORD_10035,USR_1674,2024-02-07 03:52:10.466093,completed
ORD_10036,USR_1610,2024-02-07 08:05:39.907981,completed
ORD_10037,USR_1624,2024-02-07 12:19:09.349869,completed
ORD_10038,USR_1358,2024-02-07 16:32:38.791758,completed
ORD_10039,USR_1602,2024-02-07 20:46:08.233646,completed
ORD_10040,USR_1857,2024-02-08 00:59:37.675535,returned
ORD_10041,USR_1717,2024-02-08 05:13:07.117423,completed
ORD_10042,USR_1016,2024-02-08 09:26:36.559311,completed
ORD_10043,USR_1273,2024-02-08 13:40:06.001200,completed
ORD_10044,USR_1684,2024-02-08 17:53:35.443088,cancelled
ORD_10045,USR_1115,2024-02-08 22:07:04.884976,completed
ORD_10046,USR_1860,2024-02-09 02:20:34.326865,completed
ORD_10047,USR_1979,2024-02-09 06:34:03.768753,completed
ORD_10048,USR_1692,2024-02-09 10:47:33.210642,completed
ORD_10049,USR_1090,2024-02-09 15:01:02.652530,completed
ORD_10050,USR_1081,2024-02-09 19:14:32.094418,completed
ORD_10051,USR_1323,2024-02-09 23:28:01.536307,completed
ORD_10052,USR_1960,2024-02-10 03:41:30.978195,completed
ORD_10053,USR_1113,2024-02-10 07:55:00.420084,completed
ORD_10054,USR_1768,2024-02-10 12:08:29.861972,completed
ORD_10055,USR_1057,2024-02-10 16:21:59.303860,returned
ORD_10056,USR_1153,2024-02-10 20:35:28.745749,completed
ORD_10057,USR_1876,2024-02-11 00:48:58.187637,completed
ORD_10058,USR_1403,2024-02-11 05:02:27.629525,completed
ORD_10059,USR_1627,2024-02-11 09:15:57.071414,completed
ORD_10060,USR_1854,2024-02-11 13:29:26.513302,cancelled
ORD_10061,USR_1265,2024-02-11 17:42:55.955191,completed
ORD_10062,USR_1314,2024-02-11 21:56:25.397079,completed
ORD_10063,USR_1714,2024-02-12 02:09:54.838967,completed
ORD_10064,USR_1040,2024-02-12 06:23:24.280856,completed
ORD_10065,USR_1104,2024-02-12 10:36:53.722744,completed
ORD_10066,USR_1900,2024-02-12 14:50:23.164632,completed
ORD_10067,USR_1889,2024-02-12 19:03:52.606521,returned
ORD_10068,USR_1192,2024-02-12 23:17:22.048409,completed
ORD_10069,USR_1400,2024-02-13 03:30:51.490298,completed
ORD_10070,USR_1277,2024-02-13 07:44:20.932186,completed
ORD_10071,USR_1353,2024-02-13 11:57:50.374074,completed
ORD_10072,USR_1748,2024-02-13 16:11:19.815963,completed
ORD_10073,USR_1936,2024-02-13 20:24:49.257851,completed
ORD_10074,USR_1732,2024-02-14 00:38:18.699739,returned
ORD_10075,USR_1579,2024-02-14 04:51:48.141628,completed
ORD_10076,USR_1708,2024-02-14 09:05:17.583516,completed
ORD_10077,USR_1255,2024-02-14 13:18:47.025405,completed
ORD_10078,USR_1650,2024-02-14 17:32:16.467293,completed
ORD_10079,USR_1823,2024-02-14 21:45:45.909181,completed
ORD_10080,USR_1946,2024-02-15 01:59:15.351070,completed
ORD_10081,USR_1660,2024-02-15 06:12:44.792958,completed
ORD_10082,USR_1098,2024-02-15 10:26:14.234846,completed
ORD_10083,USR_1587,2024-02-15 14:39:43.676735,returned
ORD_10084,USR_1281,2024-02-15 18:53:13.118623,returned
ORD_10085,USR_1882,2024-02-15 23:06:42.560512,completed
ORD_10086,USR_1402,2024-02-16 03:20:12.002400,completed
ORD_10087,USR_1108,2024-02-16 07:33:41.444288,completed
ORD_10088,USR_1699,2024-02-16 11:47:10.886177,completed
ORD_10089,USR_1198,2024-02-16 16:00:40.328065,completed
ORD_10090,USR_1302,2024-02-16 20:14:09.769953,completed
ORD_10091,USR_1326,2024-02-17 00:27:39.211842,completed
ORD_10092,USR_1153,2024-02-17 04:41:08.653730,completed
ORD_10093,USR_1551,2024-02-17 08:54:38.095619,completed
ORD_10094,USR_1644,2024-02-17 13:08:07.537507,completed
ORD_10095,USR_1404,2024-02-17 17:21:36.979395,completed
ORD_10096,USR_1461,2024-02-17 21:35:06.421284,completed
ORD_10097,USR_1131,2024-02-18 01:48:35.863172,completed
ORD_10098,USR_1790,2024-02-18 06:02:05.305061,completed
ORD_10099,USR_1873,2024-02-18 10:15:34.746949,cancelled
ORD_10100,USR_1083,2024-02-18 14:29:04.188837,completed
ORD_10101,USR_1398,2024-02-18 18:42:33.630726,completed
ORD_10102,USR_1753,2024-02-18 22:56:03.072614,completed
ORD_10103,USR_1627,2024-02-19 03:09:32.514502,returned
ORD_10104,USR_1108,2024-02-19 07:23:01.956391,completed
ORD_10105,USR_1220,2024-02-19 11:36:31.398279,completed
ORD_10106,USR_1903,2024-02-19 15:50:00.840168,returned
ORD_10107,USR_1552,2024-02-19 20:03:30.282056,completed
ORD_10108,USR_1367,2024-02-20 00:16:59.723944,cancelled
ORD_10109,USR_1146,2024-02-20 04:30:29.165833,returned
ORD_10110,USR_1111,2024-02-20 08:43:58.607721,returned
ORD_10111,USR_1614,2024-02-20 12:57:28.049609,completed
ORD_10112,USR_1557,2024-02-20 17:10:57.491498,completed
ORD_10113,USR_1923,2024-02-20 21:24:26.933386,completed
ORD_10114,USR_1493,2024-02-21 01:37:56.375275,completed
ORD_10115,USR_1504,2024-02-21 05:51:25.817163,completed
ORD_10116,USR_1474,2024-02-21 10:04:55.259051,completed
ORD_10117,USR_1835,2024-02-21 14:18:24.700940,completed
ORD_10118,USR_1889,2024-02-21 18:31:54.142828,completed
ORD_10119,USR_1270,2024-02-21 22:45:23.584716,completed
ORD_10120,USR_1994,2024-02-22 02:58:53.026605,completed
ORD_10121,USR_1420,2024-02-22 07:12:22.468493,completed
ORD_10122,USR_1896,2024-02-22 11:25:51.910382,completed
ORD_10123,USR_1706,2024-02-22 15:39:21.352270,completed
ORD_10124,USR_1366,2024-02-22 19:52:50.794158,completed
ORD_10125,USR_1279,2024-02-23 00:06:20.236047,completed
ORD_10126,USR_1282,2024-02-23 04:19:49.677935,completed
ORD_10127,USR_1039,2024-02-23 08:33:19.119823,completed
ORD_10128,USR_1958,2024-02-23 12:46:48.561712,completed
ORD_10129,USR_1188,2024-02-23 17:00:18.003600,completed
ORD_10130,USR_1163,2024-02-23 21:13:47.445489,returned
ORD_10131,USR_1993,2024-02-24 01:27:16.887377,completed
ORD_10132,USR_1988,2024-02-24 05:40:46.329265,completed
ORD_10133,USR_1535,2024-02-24 09:54:15.771154,completed
ORD_10134,USR_1535,2024-02-24 14:07:45.213042,completed
ORD_10135,USR_1003,2024-02-24 18:21:14.654930,completed
ORD_10136,USR_1834,2024-02-24 22:34:44.096819,completed
ORD_10137,USR_1289,2024-02-25 02:48:13.538707,completed
ORD_10138,USR_1952,2024-02-25 07:01:42.980596,completed
ORD_10139,USR_1432,2024-02-25 11:15:12.422484,completed
ORD_10140,USR_1470,2024-02-25 15:28:41.864372,completed
ORD_10141,USR_1180,2024-02-25 19:42:11.306261,completed
ORD_10142,USR_1247,2024-02-25 23:55:40.748149,returned
ORD_10143,USR_1627,2024-02-26 04:09:10.190038,completed
ORD_10144,USR_1278,2024-02-26 08:22:39.631926,completed
ORD_10145,USR_1876,2024-02-26 12:36:09.073814,completed
ORD_10146,USR_1580,2024-02-26 16:49:38.515703,completed
ORD_10147,USR_1862,2024-02-26 21:03:07.957591,completed
ORD_10148,USR_1253,2024-02-27 01:16:37.399479,completed
ORD_10149,USR_1180,2024-02-27 05:30:06.841368,completed
ORD_10150,USR_1829,2024-02-27 09:43:36.283256,completed
ORD_10151,USR_1680,2024-02-27 13:57:05.725145,returned
ORD_10152,USR_1824,2024-02-27 18:10:35.167033,completed
ORD_10153,USR_1508,2024-02-27 22:24:04.608921,returned
ORD_10154,USR_1760,2024-02-28 02:37:34.050810,completed
ORD_10155,USR_1699,2024-02-28 06:51:03.492698,completed
ORD_10156,USR_1565,2024-02-28 11:04:32.934586,completed
ORD_10157,USR_1325,2024-02-28 15:18:02.376475,completed
ORD_10158,USR_1356,2024-02-28 19:31:31.818363,cancelled
ORD_10159,USR_1824,2024-02-28 23:45:01.260252,completed
ORD_10160,USR_1649,2024-02-29 03:58:30.702140,completed
ORD_10161,USR_1679,2024-02-29 08:12:00.144028,completed
ORD_10162,USR_1390,2024-02-29 12:25:29.585917,completed
ORD_10163,USR_1614,2024-02-29 16:38:59.027805,completed
ORD_10164,USR_1933,2024-02-29 20:52:28.469693,completed
ORD_10165,USR_1084,2024-03-01 01:05:57.911582,completed
ORD_10166,USR_1316,2024-03-01 05:19:27.353470,returned
ORD_10167,USR_1211,2024-03-01 09:32:56.795359,completed
ORD_10168,USR_1514,2024-03-01 13:46:26.237247,completed
ORD_10169,USR_1383,2024-03-01 17:59:55.679135,completed
ORD_10170,USR_1690,2024-03-01 22:13:25.121024,completed
ORD_10171,USR_1341,2024-03-02 02:26:54.562912,completed
ORD_10172,USR_1814,2024-03-02 06:40:24.004800,completed
ORD_10173,USR_1963,2024-03-02 10:53:53.446689,completed
ORD_10174,USR_1987,2024-03-02 15:07:22.888577,completed
ORD_10175,USR_1843,2024-03-02 19:20:52.330466,returned
ORD_10176,USR_1037,2024-03-02 23:34:21.772354,completed
ORD_10177,USR_1510,2024-03-03 03:47:51.214242,completed
ORD_10178,USR_1419,2024-03-03 08:01:20.656131,returned
ORD_10179,USR_1750,2024-03-03 12:14:50.098019,cancelled
ORD_10180,USR_1168,2024-03-03 16:28:19.539907,completed
ORD_10181,USR_1964,2024-03-03 20:41:48.981796,completed
ORD_10182,USR_1908,2024-03-04 00:55:18.423684,completed
ORD_10183,USR_1342,2024-03-04 05:08:47.865573,returned
ORD_10184,USR_1825,2024-03-04 09:22:17.307461,returned
ORD_10185,USR_1305,2024-03-04 13:35:46.749349,completed
ORD_10186,USR_1541,2024-03-04 17:49:16.191238,completed
ORD_10187,USR_1701,2024-03-04 22:02:45.633126,completed
ORD_10188,USR_1868,2024-03-05 02:16:15.075015,completed
ORD_10189,USR_1536,2024-03-05 06:29:44.516903,completed
ORD_10190,USR_1111,2024-03-05 10:43:13.958791,completed
ORD_10191,USR_1410,2024-03-05 14:56:43.400680,cancelled
ORD_10192,USR_1946,2024-03-05 19:10:12.842568,completed
ORD_10193,USR_1205,2024-03-05 23:23:42.284456,completed
ORD_10194,USR_1184,2024-03-06 03:37:11.726345,completed
ORD_10195,USR_1381,2024-03-06 07:50:41.168233,completed
ORD_10196,USR_1495,2024-03-06 12:04:10.610122,completed
ORD_10197,USR_1378,2024-03-06 16:17:40.052010,completed
ORD_10198,USR_1046,2024-03-06 20:31:09.493898,completed
ORD_10199,USR_1885,2024-03-07 00:44:38.935787,returned
ORD_10200,USR_1739,2024-03-07 04:58:08.377675,completed
ORD_10201,USR_1550,2024-03-07 09:11:37.819563,completed
ORD_10202,USR_1527,2024-03-07 13:25:07.261452,completed
ORD_10203,USR_1503,2024-03-07 17:38:36.703340,completed
ORD_10204,USR_1021,2024-03-07 21:52:06.145229,completed
ORD_10205,USR_1212,2024-03-08 02:05:35.587117,completed
ORD_10206,USR_1309,2024-03-08 06:19:05.029005,completed
ORD_10207,USR_1660,2024-03-08 10:32:34.470894,completed
ORD_10208,USR_1967,2024-03-08 14:46:03.912782,completed
ORD_10209,USR_1752,2024-03-08 18:59:33.354670,completed
ORD_10210,USR_1271,2024-03-08 23:13:02.796559,returned
ORD_10211,USR_1570,2024-03-09 03:26:32.238447,returned
ORD_10212,USR_1798,2024-03-09 07:40:01.680336,completed
ORD_10213,USR_1937,2024-03-09 11:53:31.122224,completed
ORD_10214,USR_1201,2024-03-09 16:07:00.564112,cancelled
ORD_10215,USR_1031,2024-03-09 20:20:30.006001,completed
ORD_10216,USR_1442,2024-03-10 00:33:59.447889,completed
ORD_10217,USR_1161,2024-03-10 04:47:28.889777,returned
ORD_10218,USR_1766,2024-03-10 09:00:58.331666,completed
ORD_10219,USR_1253,2024-03-10 13:14:27.773554,returned
